Gene	HT_Pvalue	MS_Pvalue	Known_MS_gene	known_HT_gene
LOC283951	0.0026	0.782		
NEB	0.002609	0.999		
CXCR5	0.04701	0.0000001	YES	
LBX2	0.00264	0.91		
PRR18	0.00268	0.502		
RABL2A	0.0027	0.375		
PCGF1	0.0028	0.923		
RTKN	0.00284	0.985		
ITFG1	0.00285	0.474		
CLEC16A	0.111	0.0000001	YES	
ANTXR2	0.003	0.201		
TBC1D8	0.00301	0.81		
NFIL3	0.003066	0.09076		
WHSC1	0.00307	0.856		
SLC4A7	0.00319	0.00791		
CCDC52	0.0032	0.258		
LETM1	0.0033	0.96		
ZNF331	0.00335	0.134		
DYRK3	0.00341	0.348		
PFAS	0.00342	0.865		
RANGRF	0.00345	0.741		
C9orf24	0.00347	0.56		
ARHGEF15	0.0035	0.713		
ATG9A	0.003517	0.439		
ODF4	0.00353	0.492		
SLC25A35	0.003534	0.717		
ASCC3L1	0.00359	0.02534		
DMXL2	0.00367	0.265		
GRIK4	0.00371	0.727		
ANKZF1	0.00374	0.462		
DPF3	0.00401	0.188		
CIAO1	0.00402	0.01187		
C9orf25	0.00411	0.3		
TMEM127	0.00421	0.01208		
MIZF	0.00438	0.458		
SDC1	0.0044	0.322		
ASXL2	0.00449	0.03572		
ZNF813	0.0046	0.655		
RPL31	0.0047	0.687		
RNASE4	0.00475	0.316		
C20orf152	0.004773	0.653		
UGT1A8	0.00491	0.861		
CYLD	0.00493	0.409		
DNAJB3	0.00496	0.907		
UGT1A10	0.00504	0.885		
HERPUD2	0.00515	0.198		
ST8SIA3	0.00515	0.899		
KRTAP4-4	0.00517	0.994		
TSPAN9	0.00518	0.109		
HBP1	0.00524	0.316		
KRTAP4-2	0.00526	0.997		
TMEM132D	0.00533	0.416		
SPEG	0.00551	0.213		
NEUROD6	0.00558	0.6		
TRAM2	0.00559	0.216		
L2HGDH	0.005593	0.504		
SIRT4	0.00566	0.364		
KRTAP9-8	0.00571	0.862		
KRTAP9-2	0.00574	0.953		
STX3	0.00575	0.657		
KRTAP4-1	0.00578	0.994		
ACP6	0.0058	0.249		
EPB41L4B	0.0058	0.27		
KRTAP4-3	0.00584	0.994		
KRTAP4-5	0.0059	0.991		
KRTAP9-3	0.00592	0.877		
EPS8L3	0.00598	0.554		
GSTM5	0.00598	0.851		
NSMAF	0.00599	0.149		
HMX3	0.00605	0.563		
SCAND1	0.00616	0.653		
ANXA2	0.00619	0.379		
HCK	0.0062	0.27		
OR10V1	0.00622	0.484		
SCP2	0.00623	0.03655		
CDC42BPA	0.00626	0.458		
FXN	0.00628	0.0831		
GSTM3	0.00628	0.775		
DNM3	0.00638	0.738		
NARG2	0.00644	0.334		
NOD2	0.00649	0.629		
STK4	0.00651	0.284		
RHBDL3	0.00653	0.893		
MTHFD1L	0.00656	0.28		
TBP	0.00658	0.771		
C10orf104	0.00663	0.941		
PSMB1	0.0067	0.769		
UGT1A6	0.00685	0.865		
UGT1A3	0.00702	0.878		
NPAS2	0.00703	0.037		
PDCD2	0.00705	0.82		
CPAMD8	0.00706	0.291		
SLC6A16	0.19	0.0000001	YES	
TM9SF4	0.0071	0.227		
UGT1A5	0.0071	0.889		
UGT1A4	0.00717	0.891		
UGT1A9	0.0072	0.892		
DBX2	0.00732	0.311		
MED28	0.00736	0.283		
NR6A1	0.0074	0.439		
C1orf21	0.00752	0.498		
CLN6	0.00756	0.215		
AKNA	0.00757	0.556		
UGT1A7	0.0076	0.873		
SERPINI2	0.0078	0.832		
ZNF284	0.00787	0.818		
PPP2R5E	0.00788	0.716		
PANK3	0.00797	0.242		
ZDHHC2	0.00799	0.825		
BNC2	0.008	0.584		
ZNF224	0.00804	0.819		
ZNF223	0.00808	0.824		
FEM1B	0.0081	0.362		
BOLA1	0.00811	0.59		
ASCC1	0.00814	0.679		
MSI2	0.00815	0.891		
RARS	0.00817	0.464		
RPS23	0.00817	0.556		
WDR49	0.00818	0.732		
HIST2H2AB	0.00834	0.685		
STXBP5	0.00836	0.797		
KCNA2	0.00844	0.544		
HDAC3	0.00845	0.000499		
HIST2H2BE	0.00846	0.671		
FCHSD1	0.00853	0.01688		
TSSK2	0.00858	0.908		
HIPK2	0.00863	0.611		
TNFRSF1A	0.224	0.0000001	YES	
ABO	0.00868	0.304		
DIAPH1	0.00877	0.00633		
AKAP8L	0.00879	0.352		
CLCN7	0.00889	0.964		
HIST2H2AC	0.00895	0.672		
RELL2	0.00906	0.01102		
NY-SAR-48	0.00909	0.467		
LOC390667	0.00921	0.981		
AKAP8	0.00922	0.315		
DGCR14	0.00927	0.869		
RNF182	0.00946	0.06116		
C9orf6	0.00952	0.438		
GNAT2	0.00956	0.719		
AMPD2	0.00959	0.741		
GSTM2	0.00968	0.879		
MRPL16	0.00975	0.715		
PDS5B	0.00981	0.517		
CENPP	0.00982	0.199		
FAM118A	0.00983	0.07594		
FRZB	0.00985	0.184		
GSTM4	0.00988	0.72		
MAGI1	0.00997	0.3		
SMC1B	0.00999	0.05418		
IPPK	0.0101	0.222		
GNAS	0.01011	0.666		YES
HEL308	0.01011	0.798		
CENTD3	0.0102	0.02509		
FAM175A	0.01025	0.738		
ZNF225	0.01025	0.955		
MRPS18C	0.01031	0.666		
IQCB1	0.261	0.0000001	YES	
ECHDC3	0.01038	0.105		
PMM2	0.01042	0.504		
WDR57	0.01044	0.38		
TSPAN11	0.01047	0.102		
WDR89	0.01048	0.576		
ZNF234	0.0106	0.994		
MAPKAPK2	0.01064	0.925		
ADAMTS14	0.01078	0.677		
TELO2	0.01079	0.961		
UPK3A	0.01085	0.09248		
ZBTB12	0.01089	0.000024		
GTPBP4	0.01094	0.07955		
SLC4A5	0.01096	0.105		
CSNK1A1	0.01098	0.374		
CAPRIN1	0.01109	0.589		
C5orf13	0.01112	0.256		
PCMTD2	0.01114	0.606		
PNPT1	0.01115	0.777		
DES	0.01128	0.154		
DCTN1	0.0113	0.962		
MMEL1	0.359	0.0000001	YES	
IDI2	0.01132	0.07859		
C2	0.01144	0.000007		
ERP29	0.01151	0.01017		
ZNF230	0.01155	0.545		
CFB	0.0116	0.000003		
3-Mar	0.01161	0.145		
ZNF222	0.01161	0.591		
LCE3B	0.01163	0.788		
FLJ30851	0.01164	0.375		
ZNF688	0.01165	0.152		
FLJ46082	0.01166	0.287		
IFT80	0.01166	0.735		
ITGAL	0.01174	0.137		
MYT1	0.01177	0.635		
DOM3Z	0.01178	0.000004		
SLC35B1	0.0118	0.498		
SPOP	0.01182	0.518		
C13orf35	0.01182	0.62		
RECK	0.01183	0.469		
ZNF768	0.01187	0.102		
CCIN	0.01188	0.712		
C4A-1	0.01192	0.000005		
SKIV2L	0.01196	0.000003		
RLBP1L1	0.01196	0.602		
CCL11	0.01199	0.469		
AKR1D1	0.01202	0.5		
C7orf36	0.01202	0.609		
CDKL1	0.01208	0.684		
STK19-1	0.01209	0.000006		
CEACAM7	0.0121	0.636		
ITSN2	0.01214	0.88		
C4B-1	0.01217	0.000005		
CEACAM5	0.01217	0.569		
SGCG	0.01219	0.989		
ZNF785	0.01222	0.233		
ZNF747	0.01228	0.16		
FAM117A	0.0123	0.539		
FOXO3	0.01235	0.366		
RIF1	0.01237	0.772		
ZNF764	0.01242	0.156		
LCE3A	0.01242	0.781		
CLTA	0.01244	0.632		
RDBP	0.01247	0.000005		
CBWD1	0.01248	0.348		
ATP11A	0.01253	0.49		
CDH9	0.01257	0.315		
TMEM39A	0.378	0.0000001	YES	
OR5B2	0.01271	0.768		
IKBKAP	0.01273	0.114		
LCE2C	0.0129	0.516		
OR5B17	0.01291	0.803		
C12orf30	0.01303	0.01662		
IQCA1	0.0132	0.415		
FLJ41603	0.0132	0.773		
LCE2D	0.01322	0.719		
LCE3C	0.01322	0.837		
P2RY12	0.01324	0.0405		
IL22RA2	0.453	0.0000001	YES	
FLJ21438	0.0133	0.202		
EPB41L4A	0.0133	0.297		
LCE2B	0.0133	0.512		
OR5B12	0.01332	0.701		
ANKRD1	0.01333	0.562		
TTC27	0.01335	0.966		
ACTL7A	0.01336	0.08327		
ZNF155	0.01343	0.535		
OLFML2A	0.01351	0.779		
WIZ	0.01359	0.429		
DDI1	0.01372	0.792		
MRPL17	0.01378	0.759		
OR5B3	0.01382	0.838		
COMT	0.01382	0.931		
TRYX3	0.014	0.29		
ZNF516	0.01404	0.511		
IFIT5	0.01419	0.232		
STARD13	0.01419	0.63		
TMEM186	0.01421	0.464		
RBM17	0.01423	0.000014		
IFIT1L	0.01442	0.36		
TMEM14A	0.01448	0.222		
FAM69A	0.506	0.0000001	YES	
LCE2A	0.0148	0.505		
MGAM	0.01482	0.908		
ATP5S	0.01501	0.564		
ADAM20	0.01505	0.441		
EXOSC9	0.01506	0.612		
MCART1	0.01512	0.698		
RIBC2	0.01526	0.102		
AHI1	0.521	0.0000001	YES	
CDC2L6	0.01533	0.256		
CCNA2	0.01551	0.595		
PTGS1	0.01559	0.19		
DRAM	0.01563	0.923		
NAT10	0.0157	0.82		
HRASLS5	0.0158	0.638		
LGALS12	0.01583	0.664		
BBS7	0.0159	0.661		
IFIT1	0.01602	0.348		
MAS1	0.01619	0.173		
NMT2	0.01632	0.623		
OR10W1	0.01639	0.654		
CNOT7	0.01641	0.608		
PCBD1	0.01657	0.433		
INOC1	0.01679	0.01874		
KLHL14	0.01679	0.505		
SLC25A42	0.0168	0.02494		
MED13	0.0168	0.14		
ATP6V1G1	0.017	0.828		
PTEN	0.01719	0.755		
PDYN	0.01724	0.683		
C1orf162	0.01728	0.192		
ZNF777	0.01742	0.000521		
ZNF207	0.01743	0.613		
EVI5	0.532	0.0000001	YES	
PAQR5	0.01751	0.623		
ACTL7B	0.01757	0.08909		
OVGP1	0.01778	0.07349		
GTF3A	0.01778	0.0994		
ATP5F1	0.01786	0.06384		
TNFRSF14	0.651	0.0000001	YES	
ANKS1B	0.01793	0.396		
IFT140	0.01794	0.93		
POLR3F	0.01796	0.07352		
IGF2R	0.01798	0.445		
OR2D3	0.01798	0.495		
DAPL1	0.01802	0.669		
OR2D2	0.01803	0.47		
WDR77	0.01809	0.08735		
MTIF3	0.01821	0.117		
UBXD8	0.01826	0.914		
C17orf75	0.01842	0.858		
KIAA1370	0.01849	0.08174		
TPTE2	0.01852	0.466		
C20orf19	0.01855	0.993		
AK3L1	0.01864	0.407		
SLC1A7	0.01888	0.154		
FAM13A1	0.01905	0.849		
RBP4	0.01926	0.109		
PRKAR2B	0.01937	0.553		
BARHL1	0.0194	0.125		
LINCR	0.01954	0.469		
ARL5B	0.01957	0.806		
NSUN6	0.01979	0.712		
ARID5A	0.01985	0.442		
ANAPC10	0.01995	0.572		
ABCB10	0.01998	0.569		
ABCE1	0.02006	0.553		
PRICKLE2	0.02006	0.971		
KCNK3	0.02009	0.75		
FAM171A1	0.0201	0.868		
RPA2	0.02018	0.287		
PHF10	0.02026	0.403		
C6orf120	0.02038	0.525		
PRM1	0.724	0.0000001	YES	
DPH5	0.9	0.0000001	YES	
ELF2	0.02077	0.246		
GUCY1A3	0.02101	0.181		
OTUD4	0.02114	0.481		
EFHD2	0.02123	0.305		
CTRC	0.02129	0.319		
TMCC2	0.0213	0.548		
OR1S1	0.02135	0.414		
RPS27L	0.0214	0.623		
SERINC2	0.02146	0.521		
CLOCK	0.02161	0.335		
SPAM1	0.02189	0.174		
LCE4A	0.02193	0.543		
CDC123	0.022	0.59		
TMEM57	0.02212	0.764		
OR10Q1	0.02219	0.463		
PHF2	0.02228	0.189		
KRTAP9-9	0.02237	0.957		
LY6E	0.02253	0.228		
MED12L	0.02258	0.04599		
MAPKAP1	0.02258	0.488		
FAM178A	0.02272	0.386		
PDLIM3	0.02276	0.194		
DDEF2	0.02277	0.271		
COL15A1	0.0228	0.297		
ANKH	0.02302	0.753		
RHCE	0.02307	0.883		
CTSO	0.02308	0.765		
C10orf93	0.0231	0.26		
PHF20	0.0231	0.797		
LIPI	0.02316	0.501		
PPAP2B	0.02336	0.24		
SLC30A7	0.905	0.0000001	YES	
OR6K6	0.02338	0.879		
HERC3	0.02339	0.802		
NAP1L5	0.02352	0.66		
XYLB	0.02354	0.872		
GDI2	0.02357	0.332		
KIF3C	0.02369	0.287		
TMEM129	0.0238	0.7		
SDCBP	0.02383	0.231		
SLC22A14	0.02383	0.786		
OR10A5	0.02388	0.676		
TACC3	0.02396	0.699		
RBM11	0.024	0.853		
SLC16A12	0.02409	0.54		
TRAF6	0.02415	0.72		
SLBP	0.02417	0.721		
SMCR8	0.02427	0.00676		
ORC4L	0.02443	0.645		
SHMT1	0.02445	0.00737		
COL27A1	0.0245	0.437		
STK32B	0.02459	0.343		
ZNF14	0.0246	0.35		
MASP1	0.02466	0.154		
DRG2	0.0247	0.166		
G0S2	0.02479	0.709		
ZNF101	0.02482	0.583		
SPACA3	0.02493	0.502		
SMEK2	0.02494	0.989		
KIAA1267	0.02504	0.03364		
CYP27B1	0.262	0.000001	YES	
LAP3	0.02512	0.621		
PDE4A	0.02522	0.0000001		
DUSP6	0.02523	0.151		
CDC73	0.02523	0.826		
CLP1	0.02526	0.534		
TMEM116	0.02532	0.03958		
TOP3A	0.02537	0.00581		
HRK	0.02554	0.996		
C4orf6	0.02558	0.292		
KLHL21	0.02565	0.454		
H1FX	0.02572	0.963		
ZDHHC5	0.02613	0.539		
USP40	0.02617	0.44		
GMEB1	0.02617	0.448		
TXNDC14	0.02618	0.309		
B3GALT2	0.02622	0.817		
MED19	0.02625	0.413		
WDR51B	0.02628	0.735		
C3orf37	0.02634	0.959		
NAP5	0.02655	0.527		
YPEL4	0.02659	0.517		
SOX6	0.02664	0.564		
HOOK1	0.02667	0.708		
SPRR3	0.02683	0.725		
GMPPA	0.02693	0.341		
ANXA13	0.02711	0.05243		
C8ORFK36	0.02713	0.0296		
YTHDF2	0.02716	0.734		
BRIP1	0.02719	0.152		
SPRR1A	0.02724	0.842		
HFE	0.0273	0.04371		YES
C6orf201	0.02735	0.75		
C6orf146	0.02737	0.676		
C4A-2	0.02769	0.000072		
INTS2	0.02777	0.431		
COX10	0.02781	0.557		
ZNF761	0.02786	0.567		
C21orf63	0.02791	0.303		
SR140	0.028	0.975		
CARHSP1	0.02808	0.533		
HEY1	0.02811	0.688		
FKBP9	0.02828	0.03418		
CYP2J2	0.02834	0.45		
STK19-2	0.02835	0.000047		
ABCC2	0.02844	0.109		
DNMBP	0.02846	0.302		
HPCAL1	0.02849	0.491		
UBAP1	0.02851	0.405		
AADACL1	0.02855	0.421		
ACVR2A	0.02858	0.749		
C17orf64	0.02858	0.754		
C1orf38	0.02863	0.249		
C4B-2	0.02868	0.000044		
USP32	0.02881	0.833		
KIF24	0.02884	0.694		
APPBP2	0.0289	0.723		
MAPRE2	0.02899	0.381		
RUNDC3B	0.02904	0.608		
MCTP2	0.02913	0.874		
M6PR	0.02949	0.255		
CHDH	0.02964	0.244		
OR1S2	0.02985	0.468		
MTBP	0.02987	0.827		
HSPB2	0.0299	0.566		
KLRG1	0.02994	0.299		
NCF4	0.288	0.000001	YES	
BTBD14A	0.03015	0.716		
MMP9	0.03027	0.178		
C11orf52	0.03027	0.602		
FCN1	0.03054	0.618		
DOCK8	0.03055	0.387		
OR10A4	0.03063	0.439		
LGTN	0.03067	0.05748		
C9orf69	0.03067	0.07953		
RUSC1	0.03079	0.959		
HELZ	0.03082	0.877		
REV3L	0.03088	0.705		
ODZ2	0.03107	0.44		
C17orf48	0.03115	0.621		
SLA	0.03122	0.05283		
CRYAB	0.03123	0.56		
SCO1	0.03124	0.406		
C8orf31	0.03129	0.16		
OR10A2	0.03132	0.389		
CLK2	0.03133	0.102		
ASH1L	0.03136	0.907		
KEAP1	0.03146	0.00185		
C1orf104	0.03162	0.966		
LOC388910	0.03171	0.355		
PKLR	0.03175	0.946		
DCAKD	0.03176	0.252		
GLG1	0.0318	0.676		
ZFP36L1	0.352	0.000001	YES	
SLFNL1	0.03192	0.816		
S1PR5	0.03199	0.01475		
FOXQ1	0.03199	0.548		
MYH3	0.032	0.189		
CCDC25	0.03206	0.311		
STAT6	0.03206	0.852		
HCN3	0.03219	0.224		
GRM3	0.03231	0.707		
LRP1	0.03237	0.663		
KIAA1524	0.03243	0.334		
PPM1B	0.03247	0.875		
SLCO2A1	0.03247	0.882		
FDPS	0.03263	0.961		
FAM148A	0.03279	0.995		
FAT3	0.03285	0.31		
POLI	0.03289	0.674		
DIRAS2	0.03294	0.866		
HOPX	0.03308	0.757		
VPS37A	0.03324	0.663		
RHOT1	0.03325	0.129		
SETBP1	0.03326	0.518		
CSN3	0.03343	0.417		
OR2AG2	0.03344	0.889		
SV2A	0.03357	0.607		
SF3B4	0.03375	0.604		
DDIT4L	0.03415	0.138		
ARV1	0.03424	0.293		
EGLN3	0.03428	0.01331		
MTMR11	0.0343	0.569		
LMBRD2	0.03437	0.244		
CCL7	0.03438	0.491		
MLKL	0.03443	0.63		
TINF2	0.0345	0.169		
RFWD3	0.03458	0.482		
CCL2	0.03464	0.431		
WT1	0.03479	0.287		
DGCR2	0.03489	0.909		
LOC646892	0.03497	0.328		
CIB2	0.03499	0.281		
KIAA0515	0.03514	0.738		
WBP4	0.03515	0.655		
TM4SF1	0.03524	0.42		
SCFD1	0.03544	0.638		
KCNN3	0.03545	0.916		
LOC93349	0.03551	0.00622		
TMEM198	0.03559	0.636		
KIAA1324L	0.03578	0.299		
MTTP	0.03589	0.317		
OR52H1	0.03591	0.715		
PPP1R3B	0.03609	0.201		
FAM134B	0.03623	0.893		
TGM1	0.03633	0.233		
C4orf17	0.03638	0.256		
CYP4Z1	0.03653	0.137		
RG9MTD2	0.03659	0.255		
FARSB	0.03663	0.348		
PDZK1IP1	0.03684	0.79		
OBSL1	0.03689	0.635		
CHPF	0.03695	0.616		
CAMK2N1	0.03696	0.408		
WNT5A	0.03698	0.099		
IL6ST	0.03703	0.651		
RNF44	0.0371	0.938		
ACCN4	0.03712	0.527		
C10orf119	0.03713	0.628		
CYP4A22	0.03723	0.719		
PRB2	0.03736	0.0616		
TMEM158	0.0374	0.571		
KCNS2	0.03748	0.588		
C9orf91	0.03757	0.456		
ASB4	0.0377	0.528		
C3orf36	0.0378	0.779		
KIAA0859	0.03782	0.238		
SPECC1	0.03782	0.911		
GJA8	0.03793	0.88		
FAM43B	0.03799	0.416		
PCDH24	0.03799	0.986		
TRIM42	0.038	0.143		
NUS1	0.038	0.16		
USP18	0.03806	0.03998		
PRB1	0.03811	0.11067		
FAM53A	0.03811	0.772		
PRB4	0.03815	0.209		
RPS6KB1	0.64	0.000001	YES	
GPR116	0.03821	0.01434		
BRP44L	0.0383	0.559		
PDK4	0.03833	0.451		
MUL1	0.03857	0.238		
GPR89B	0.03858	0.871		
KIAA0146	0.03859	0.482		
SLC25A15	0.03861	0.394		
TTC4	0.03867	0.98		
ATG10	0.03869	0.753		
GOLT1A	0.03886	0.0491		
SEC61G	0.03889	0.971		
TRIM59	0.03892	0.766		
GLYATL1	0.03899	0.477		
CD207	0.03929	0.748		
MYO9B	0.03952	0.07481		
LTBR	0.233	0.000002	YES	
CYP24A1	0.258	0.000002	YES	
CLEC4F	0.03967	0.823		
GPR55	0.04011	0.828		
NUP133	0.04017	0.75		
INHA	0.04021	0.632		
SMC4	0.04021	0.708		
SPG7	0.04022	0.08999		
AQP8	0.04024	0.532		
RPL13	0.0403	0.109		
GPR120	0.04037	0.105		
C22orf31	0.04038	0.772		
SPRR4	0.04041	0.792		
GBE1	0.04052	0.979		
YPEL1	0.04063	0.000276		
PPP2R4	0.04065	0.839		
PRPF4B	0.04067	0.605		
MRPS6	0.04069	0.458		
DNAJC12	0.04079	0.05528		
GGA3	0.0408	0.311		
TSFM	0.289	0.000004	YES	
FAM50B	0.04088	0.839		
CYP27C1	0.0409	0.04879		
ADC	0.04098	0.189		
MIF4GD	0.041	0.235		
SLC5A3	0.041	0.312		
C9orf66	0.04101	0.362		
PSTPIP2	0.04116	0.401		
MDGA2	0.04117	0.06512		
CRTAC1	0.04118	0.782		
CLMN	0.04121	0.479		
OR4C16	0.04131	0.336		
OR4C15	0.04131	0.408		
CALML4	0.04149	0.29		
SFRS14	0.04154	0.04578		
TJP2	0.04161	0.192		
CALN1	0.04166	0.862		
TRIM62	0.0417	0.14		
IER5L	0.04173	0.799		
SLC25A19	0.04178	0.253		
SYT13	0.0418	0.536		
MRPS7	0.04186	0.255		
IL12B	0.823	0.000004	YES	
ODAM	0.04233	0.619		
CPNE7	0.04237	0.151		
DIXDC1	0.04238	0.631		
ARMC6	0.04247	0.03905		
MAD1L1	0.04247	0.685		
OR4C11	0.04251	0.366		
KDR	0.04255	0.101		
STARD6	0.04273	0.858		
GAL7	0.04279	0.282		
C20orf12	0.04283	0.04236		
GTF2H5	0.04283	0.471		
ARPP-19	0.04284	0.104		
LGALS4	0.04286	0.635		
PLCD3	0.0431	0.263		
RGS1	0.49	0.000005	YES	
NUP37	0.04339	0.537		
COL13A1	0.04353	0.549		
LOC646643	0.04358	0.681		
HOXB1	0.04364	0.603		
C4orf40	0.04373	0.982		
C20orf85	0.0438	0.35		
OR10X1	0.04382	0.788		
CACNG4	0.04383	0.798		
WDR32	0.04388	0.677		
LGALS7	0.04405	0.298		
NMT1	0.04413	0.317		
UGT3A2	0.04415	0.09654		
DNAJC8	0.04417	0.578		
EPC1	0.04423	0.00314		
LMAN2	0.62	0.000007	YES	
KIAA0226	0.04433	0.937		
RSPO4	0.04438	0.592		
TUBA8	0.04439	0.17		
C7orf53	0.04447	0.791		
CD48	0.651	0.000009	YES	
C4orf7	0.0446	0.571		
CA5A	0.04461	0.197		
C2CD2L	0.04461	0.588		
PCIF1	0.04475	0.06045		
OR10Z1	0.04475	0.747		
RGS14	0.447	0.000011	YES	
KREMEN1	0.04499	0.808		
ZNF335	0.04501	0.04874		
N4BP2L2	0.04506	0.579		
ATPIF1	0.04508	0.463		
MSR1	0.04523	0.593		
NUAK2	0.04528	0.563		
PLEK	0.553	0.000011	YES	
C2orf76	0.04555	0.631		
SGPL1	0.04559	0.489		
COL4A2	0.04573	0.122		
PLEKHA6	0.04583	0.125		
GRAMD1B	0.04587	0.142		
IFRD1	0.04588	0.85		
SESN2	0.04616	0.616		
RNPEPL1	0.04646	0.467		
CNTN4	0.04647	0.314		
TMEM202	0.04647	0.441		
DUSP28	0.04658	0.441		
BCL9L	0.04665	0.0000001		
JAG1	0.04666	0.926		
GOLSYN	0.04672	0.66		
CAPN10	0.04675	0.46		
RPS14	0.04687	0.282		
CALD1	0.04689	0.703		
TDRD12	0.04697	0.879		
SCO2	0.763	0.000012	YES	
FLJ14213	0.04722	0.00368		
FTCD	0.04722	0.263		
ZNF548	0.04723	0.982		
HOXB2	0.04727	0.588		
MYBPC1	0.0473	0.378		
P2RY2	0.04731	0.432		
CCDC63	0.04731	0.488		
WDR25	0.04734	0.01053		
KIAA0460	0.04772	0.245		
TMEM87A	0.04801	0.62		
GARNL3	0.04805	0.27		
CSNK2A2	0.04815	0.253		
VPS39	0.04827	0.137		
LUZP2	0.04835	0.16		
SLC25A45	0.04842	0.545		
C9orf19	0.04843	0.84		
COL4A1	0.0485	0.137		
C3orf20	0.04855	0.507		
TAS1R2	0.04857	0.269		
PLA2G4F	0.04869	0.151		
PEG3	0.04879	0.15		
ACP1	0.0488	0.452		
LAMB3	0.04888	0.848		
WARS	0.04892	0.00612		
DPF2	0.04905	0.63		
SPARC	0.0491	0.812		
TIGD3	0.04927	0.396		
FAM150B	0.04965	0.42		
ZNF274	0.05017	0.692		
C3orf19	0.05018	0.609		
PIH1D2	0.05031	0.45		
DKKL1	0.272	0.000013	YES	
HSD11B1	0.05076	0.03503		
ZIM2	0.05077	0.165		
WDR64	0.05079	0.03468		
WNT4	0.05092	0.521		
LRCH3	0.05095	0.895		
SHISA3	0.05106	0.903		
GRIN3A	0.05119	0.938		
AKTIP	0.0513	0.178		
CLEC2D	0.759	0.000014	YES	
ZNF334	0.05147	0.869		
OR6N2	0.05151	0.63		
KCNE3	0.05153	0.848		
P2RY6	0.05154	0.863		
GSPT1	0.05161	0.176		
A4GNT	0.05161	0.421		
ANKRD16	0.05166	0.839		
DLAT	0.05177	0.611		
PPP3R2	0.05183	0.899		
ROCK1	0.05187	0.733		
RBL2	0.05202	0.142		
UGT1A1	0.05203	0.929		
OR6N1	0.05208	0.72		
CD58	0.254	0.000016	YES	
TMEM161A	0.05217	0.01199		
OR5A1	0.05218	0.963		
C11orf57	0.05221	0.401		
XRN2	0.05235	0.492		
CREB3L1	0.05245	0.511		
NUDT5	0.05258	0.486		
RSL1D1	0.0526	0.465		
SEC61A2	0.05263	0.675		
ZNF579	0.05278	0.684		
DGKZ	0.05279	0.278		
SYNPO	0.05281	0.17		
CUX2	0.05292	0.06246		
FAM109A	0.05295	0.07646		
OR5A2	0.05315	0.884		
PAPPA	0.05315	0.888		
PRPF3	0.05319	0.161		
DHX32	0.05321	0.396		
SLN	0.05322	0.566		
MYOZ3	0.05323	0.207		
