Chr	Gene	nSNPs	nSims	Start	Stop	Test	GenePvalue	Best-SNP	SNP-pvalue
6	C6orf15	32	1.00E+06	31186978	31188311	2112.025682	0.0000001	rs3130981	2.71E-62
6	CCHCR1	39	1.00E+06	31218194	31233994	2823.992393	0.0000001	rs3130981	2.71E-62
6	CDSN	36	1.00E+06	31190848	31196202	2657.321194	0.0000001	rs3130981	2.71E-62
6	POU5F1	34	1.00E+06	31240092	31246430	2900.793789	0.0000001	rs3130981	2.71E-62
6	PSORS1C1	38	1.00E+06	31190601	31215816	2668.616777	0.0000001	rs3130981	2.71E-62
6	PSORS1C2	36	1.00E+06	31213289	31215106	2636.450914	0.0000001	rs3130981	2.71E-62
6	TCF19	34	1.00E+06	31234281	31239971	2725.812462	0.0000001	rs3130981	2.71E-62
6	HLA-DOA	31	1.00E+06	33079937	33085367	882.7605575	0.0000001	rs3129307	2.11E-59
6	HCP5	12	1.00E+06	31538937	31541461	763.6967278	0.0000001	rs2844505	1.98E-54
6	MICB	15	1.00E+06	31573833	31586880	1122.49678	0.0000001	rs2844505	1.98E-54
6	PSMB9	35	1.00E+06	32929915	32935606	2590.86102	0.0000001	rs241425	7.10E-54
6	HLA-F	24	1.00E+06	29799095	29803052	1241.834693	0.0000001	rs2735046	1.07E-50
6	HCG27	20	1.00E+06	31273577	31279724	1333.172682	0.0000001	rs3869109	3.25E-48
6	HCG9	23	1.00E+06	30050870	30054156	1291.626727	0.0000001	rs2394250	3.55E-48
6	HLA-A	18	1.00E+06	30018309	30021633	1260.751735	0.0000001	rs2394250	3.55E-48
6	HLA-A29.1	30	1.00E+06	30018304	30085130	1334.094571	0.0000001	rs2394250	3.55E-48
6	DDR1	21	1.00E+06	30959839	30975912	1107.38063	0.0000001	rs2517459	2.98E-39
6	DPCR1	19	1.00E+06	31027537	31029977	980.4420984	0.0000001	rs2517459	2.98E-39
6	GTF2H4	21	1.00E+06	30983955	30989859	1087.287258	0.0000001	rs2517459	2.98E-39
6	SFTPG	17	1.00E+06	31007105	31007931	945.8102278	0.0000001	rs2517459	2.98E-39
6	VARS2	20	1.00E+06	30989960	31002212	1080.403655	0.0000001	rs2517459	2.98E-39
6	FLJ45422	12	1.00E+06	30335352	30342707	359.3994442	0.0000001	rs3094138	7.06E-39
6	TRIM26	15	1.00E+06	30260210	30289132	691.7527876	0.0000001	rs3094138	7.06E-39
6	HLA-G	7	1.00E+06	29902734	29906878	214.4080158	0.0000001	rs3094170	1.60E-36
6	TRIM10	13	1.00E+06	30227702	30236690	367.671668	0.0000001	rs3132676	7.33E-36
6	TRIM15	11	1.00E+06	30238961	30248452	366.027753	0.0000001	rs3132676	7.33E-36
6	TRIM31	24	1.00E+06	30178652	30188846	422.2874809	0.0000001	rs3132676	7.33E-36
6	TRIM40	15	1.00E+06	30212488	30224491	380.6661574	0.0000001	rs3132676	7.33E-36
6	GABBR1	17	1.00E+06	29677983	29708941	310.155987	0.0000001	rs3130252	1.25E-35
6	MOG	10	1.00E+06	29732787	29748128	188.3592042	0.0000001	rs3130252	1.25E-35
6	ZFP57	12	1.00E+06	29748238	29756866	412.1211543	0.0000001	rs3130252	1.25E-35
6	ATP6V1G2	17	1.00E+06	31620218	31622606	1355.186763	0.0000001	rs2071596	6.09E-33
6	BAT1	17	1.00E+06	31605974	31618204	1355.186763	0.0000001	rs2071596	6.09E-33
6	LST1	17	1.00E+06	31661949	31664665	1085.095646	0.0000001	rs2071596	6.09E-33
6	LTA	14	1.00E+06	31648071	31650077	1016.140976	0.0000001	rs2071596	6.09E-33
6	LTB	15	1.00E+06	31656314	31658181	1046.472283	0.0000001	rs2071596	6.09E-33
6	MCCD1	16	1.00E+06	31604717	31605987	1249.088836	0.0000001	rs2071596	6.09E-33
6	NCR3	17	1.00E+06	31664650	31668741	1085.095646	0.0000001	rs2071596	6.09E-33
6	NFKBIL1	18	1.00E+06	31623350	31634585	1300.489974	0.0000001	rs2071596	6.09E-33
6	TNF	14	1.00E+06	31651328	31654091	1016.140976	0.0000001	rs2071596	6.09E-33
6	C6orf25	9	1.00E+06	31799139	31800830	342.1638083	0.0000001	rs1266071	2.31E-32
6	CLIC1	8	1.00E+06	31806336	31812320	341.5755669	0.0000001	rs1266071	2.31E-32
6	DDAH2	8	1.00E+06	31802795	31806018	341.5755669	0.0000001	rs1266071	2.31E-32
6	LY6G6C	11	1.00E+06	31794403	31797489	361.7804412	0.0000001	rs1266071	2.31E-32
6	LY6G6D	11	1.00E+06	31791111	31793560	361.7804412	0.0000001	rs1266071	2.31E-32
6	MSH5	8	1.00E+06	31815752	31838431	341.5755669	0.0000001	rs1266071	2.31E-32
6	HLA-DPA1	25	1.00E+06	33140771	33149356	624.1430755	0.0000001	rs3130604	4.72E-25
6	HLA-DPB1	24	1.00E+06	33151737	33162954	531.1534448	0.0000001	rs763469	1.05E-24
6	COL11A2	16	1.00E+06	33238446	33268223	435.7800298	0.0000001	rs4713610	5.99E-22
6	HLA-E	6	1.00E+06	30565249	30569072	146.9481979	0.0000001	rs7747873	1.07E-20
6	HSD17B8	7	1.00E+06	33280396	33282585	178.8099342	0.0000001	rs9277912	1.59E-20
6	RXRB	8	1.00E+06	33269342	33276410	181.9791167	0.0000001	rs9277912	1.59E-20
6	SLC39A7	7	1.00E+06	33276580	33280192	178.8099342	0.0000001	rs9277912	1.59E-20
6	GPX5	14	1.00E+06	28601767	28609923	304.3550641	0.0000001	rs11757000	3.77E-18
6	GPX6	14	1.00E+06	28579051	28591549	304.3550641	0.0000001	rs11757000	3.77E-18
6	ZSCAN23	13	1.00E+06	28508410	28519258	202.4676149	0.0000001	rs1029328	2.43E-16
6	LOC651503	6	1.00E+06	29338458	29339835	68.63038572	4.80E-05	rs17404424	1.11E-15
6	OR5V1	14	1.00E+06	29430985	29432033	85.76026792	0.000154	rs17404424	1.11E-15
6	OR14J1	9	1.00E+06	29382445	29383411	70.4662024	0.000281	rs17404424	1.11E-15
1	C1orf93	6	1.00E+06	2508108	2512762	202.3973775	0.0000001	rs3890745	5.79E-14
1	MMEL1	6	1.00E+06	2511940	2554289	202.3973775	0.0000001	rs3890745	5.79E-14
16	CLEC16A	57	1.00E+06	10945942	11183539	1271.804642	0.0000001	rs7200786	6.30E-14
1	TNFRSF14	8	1.00E+06	2479150	2486613	153.8989476	0.0000001	rs3748816	2.25E-13
16	CIITA	16	1.00E+06	10878555	10926341	161.3608751	0.0000001	rs1035089	5.27E-13
16	DEXI	16	1.00E+06	10930248	10943758	237.0363313	0.0000001	rs1035089	5.27E-13
6	AHI1	9	1.00E+06	135646816	135860576	195.2344883	0.0000001	rs11154801	1.53E-12
19	TNFSF14	7	1.00E+06	6615565	6621599	56.15290699	0.000215	rs1077667	2.13E-12
19	C3	14	1.00E+06	6628845	6671662	63.06238	0.000339	rs1077667	2.13E-12
6	C6orf48	2	1.00E+06	31910671	31915520	70.46747042	0.0000001	rs9368699	2.90E-12
6	EHMT2	3	1.00E+06	31955515	31973443	83.34345323	0.0000001	rs9368699	2.90E-12
6	HSPA1A	2	1.00E+06	31891269	31893698	70.46747042	0.0000001	rs9368699	2.90E-12
6	HSPA1B	2	1.00E+06	31903490	31906010	70.46747042	0.0000001	rs9368699	2.90E-12
6	HSPA1L	2	1.00E+06	31885374	31890814	70.46747042	0.0000001	rs9368699	2.90E-12
6	LSM2	2	1.00E+06	31873152	31882722	70.46747042	0.0000001	rs9368699	2.90E-12
6	NEU1	2	1.00E+06	31934807	31938688	70.46747042	0.0000001	rs9368699	2.90E-12
6	SLC44A4	2	1.00E+06	31938948	31954802	70.46747042	0.0000001	rs9368699	2.90E-12
6	VARS	2	1.00E+06	31853275	31871691	70.46747042	0.0000001	rs9368699	2.90E-12
1	EVI5	21	1.00E+06	92746840	93030549	477.0189498	0.0000001	rs12746893	4.18E-12
6	SCAND3	9	1.00E+06	28647385	28663091	92.40315688	1.10E-05	rs451774	9.13E-12
1	FAM69A	11	1.00E+06	93080308	93199667	180.5442254	0.0000001	rs12738964	2.06E-11
1	RPL5	7	1.00E+06	93070181	93080069	115.6959045	0.0000001	rs12738964	2.06E-11
6	C6orf26	4	1.00E+06	31838751	31840603	114.7373547	0.0000001	rs385306	3.18E-11
6	TAGAP	9	1.00E+06	159376014	159386172	67.85237724	0.000228	rs1738074	5.27E-11
6	RSPH3	9	1.00E+06	159318253	159341186	62.99761536	0.001081	rs1738074	5.27E-11
6	OR2H2	13	1.00E+06	29663661	29664724	151.3050462	0.0000001	rs1233386	1.42E-10
6	UBD	13	1.00E+06	29631386	29635681	163.2484591	0.0000001	rs1233386	1.42E-10
12	PLEKHG6	16	1.00E+06	6289862	6307932	128.8267226	0.0000001	rs1800693	1.84E-10
12	TNFRSF1A	16	1.00E+06	6308183	6321522	129.4851617	0.0000001	rs1800693	1.84E-10
12	SCNN1A	18	1.00E+06	6326273	6354976	130.4958037	2.00E-06	rs1800693	1.84E-10
6	C6orf27	3	1.00E+06	31841349	31853087	92.22088872	0.0000001	rs1065356	2.19E-10
6	IL22RA2	14	1.00E+06	137506649	137536478	137.6354259	0.0000001	rs17066096	3.42E-10
14	GALC	16	1.00E+06	87469110	87529660	231.9989918	0.0000001	rs2119704	3.46E-10
14	GPR65	11	1.00E+06	87541248	87548168	117.2915925	1.00E-06	rs2119704	3.46E-10
3	C3orf1	21	1.00E+06	120700057	120725815	118.7370446	0.0000001	rs2293370	1.08E-09
3	KTELC1	16	1.00E+06	120670488	120696244	172.0032525	0.0000001	rs2293370	1.08E-09
3	TMEM39A	20	1.00E+06	120632390	120665161	236.9136414	0.0000001	rs2293370	1.08E-09
3	CD80	26	1.00E+06	120725829	120761171	117.7235301	3.20E-05	rs2293370	1.08E-09
3	CD86	11	1.00E+06	123256910	123322673	70.89507361	8.70E-05	rs9282641	1.54E-09
12	LTBR	14	1.00E+06	6363617	6370993	95.25659834	2.00E-06	rs1860545	1.60E-09
11	CD6	6	1.00E+06	60495690	60544424	38.85935136	0.000184	rs650258	1.74E-09
11	CD5	14	1.00E+05	60626505	60651899	40.08958352	0.03823	rs650258	1.74E-09
6	GNL1	7	1.00E+06	30621672	30632987	131.6704052	0.0000001	rs12192673	1.79E-09
6	PRR3	7	1.00E+06	30632734	30640159	117.4816489	0.0000001	rs12192673	1.79E-09
6	ABCF1	7	1.00E+06	30647148	30667288	117.4816489	2.00E-06	rs12192673	1.79E-09
1	IGSF3	6	1.00E+06	116918553	117011837	68.5117601	0.0000001	rs1335532	2.01E-09
1	CD58	15	1.00E+06	116858679	116915126	97.04105483	1.60E-05	rs1335532	2.01E-09
6	MDC1	10	1.00E+06	30775562	30793437	58.87303951	0.000221	rs3095341	2.47E-09
6	IER3	9	1.00E+06	30818954	30820306	59.09675118	0.000277	rs3095341	2.47E-09
6	TUBB	11	1.00E+06	30796135	30801174	61.17633299	0.000505	rs3095341	2.47E-09
6	FLOT1	11	1.00E+06	30803489	30818432	61.17633299	0.000521	rs3095341	2.47E-09
3	CDGAP	31	1.00E+06	120495909	120621013	179.1758703	2.00E-06	rs12494314	3.32E-09
1	EXTL2	7	1.00E+06	101110528	101133006	86.51481879	0.0000001	rs11809572	3.97E-09
1	SLC30A7	13	1.00E+06	101134265	101217582	225.9378786	0.0000001	rs11809572	3.97E-09
1	DPH5	8	1.00E+06	101227768	101263950	172.2085624	0.0000001	rs7521424	4.12E-09
6	MICA	4	1.00E+06	31479349	31491069	104.1176471	0.0000001	rs2395029	4.85E-09
20	CYP24A1	22	1.00E+06	52203394	52223923	148.189943	2.00E-06	rs2248359	5.15E-09
20	PFDN4	13	1.00E+06	52257908	52269899	87.46480121	0.000149	rs2248359	5.15E-09
1	GFI1	7	1.00E+06	92712905	92725021	48.8581968	0.001027	rs4970702	1.47E-08
6	BAK1	18	1.00E+06	33648300	33656048	136.9035233	0.0000001	rs394199	1.65E-08
6	FLJ43752	18	1.00E+06	33661860	33669093	144.450175	1.00E-06	rs394199	1.65E-08
6	ITPR3	32	1.00E+06	33697138	33772326	228.7067096	2.00E-06	rs394199	1.65E-08
6	DAXX	10	1.00E+06	33394378	33398682	119.2425913	2.00E-06	rs9278019	2.50E-08
6	ZBTB22	11	1.00E+06	33390172	33393472	121.5114156	4.00E-06	rs9278019	2.50E-08
6	TAPBP	11	1.00E+06	33375449	33389967	121.5114156	8.00E-06	rs9278019	2.50E-08
6	KIFC1	8	1.00E+06	33467290	33485677	60.42558169	0.000155	rs9278019	2.50E-08
3	ILDR1	12	1.00E+06	123188859	123223720	91.78509369	4.00E-06	rs4285028	3.70E-08
3	SLC15A2	9	1.00E+06	123095976	123143148	91.98277158	3.10E-05	rs4285028	3.70E-08
14	C14orf181	17	1.00E+06	68331216	68332943	162.7133444	1.00E-06	rs4902647	3.81E-08
14	ZFP36L1	17	1.00E+06	68324127	68329538	162.7133444	1.00E-06	rs4902647	3.81E-08
19	MAST3	15	1.00E+06	18069602	18123499	155.0089281	0.0000001	rs874628	4.32E-08
19	PIK3R2	16	1.00E+06	18125015	18142343	181.4169425	0.0000001	rs874628	4.32E-08
19	FKSG24	15	1.00E+06	18165039	18168550	136.0320278	1.00E-06	rs874628	4.32E-08
19	IFI30	15	1.00E+06	18145578	18149927	151.5594599	1.00E-06	rs874628	4.32E-08
19	PDE4C	21	1.00E+06	18179770	18220010	194.0875468	3.00E-06	rs874628	4.32E-08
19	RAB3A	14	1.00E+06	18168610	18175839	112.6512507	1.10E-05	rs874628	4.32E-08
6	VPS52	10	1.00E+06	33326026	33347640	122.8810101	2.00E-06	rs9277965	4.58E-08
6	RPS18	8	1.00E+06	33347829	33352259	85.48317265	4.50E-05	rs9277965	4.58E-08
6	B3GALT4	8	1.00E+06	33352894	33354580	85.48317265	4.60E-05	rs9277965	4.58E-08
6	WDR46	8	1.00E+06	33354862	33364969	85.48317265	4.70E-05	rs9277965	4.58E-08
6	PFDN6	8	1.00E+06	33365355	33366689	85.48317265	5.20E-05	rs9277965	4.58E-08
6	RGL2	9	1.00E+06	33367413	33374716	87.00000159	0.00012	rs9277965	4.58E-08
3	EOMES	7	1.00E+06	27732889	27738789	51.75740491	0.000361	rs12493245	5.63E-08
3	EAF2	10	1.00E+06	123036723	123088063	170.8829741	0.0000001	rs1920298	6.35E-08
3	IQCB1	10	1.00E+06	122971299	123036616	206.7136086	0.0000001	rs1920298	6.35E-08
3	GOLGB1	13	1.00E+06	122864737	122951292	148.2946665	0.0000001	rs6808500	9.61E-08
2	SP110	11	1.00E+06	230741889	230793071	74.58427504	1.90E-05	rs10201872	9.75E-08
2	SP140	17	1.00E+06	230798689	230886174	116.072861	8.80E-05	rs10201872	9.75E-08
17	RPS6KB1	8	1.00E+06	55325224	55382568	112.4098432	1.00E-06	rs180515	1.37E-07
17	RNFT1	6	1.00E+06	55384504	55396899	76.59226401	3.00E-06	rs180515	1.37E-07
14	BATF	20	1.00E+06	75058536	75083086	117.142736	5.90E-05	rs2300603	1.86E-07
14	FLVCR2	20	1.00E+06	75114692	75184265	96.99011885	0.000226	rs2300603	1.86E-07
12	9-Mar	11	1.00E+06	56435166	56439956	157.9380474	0.0000001	rs12368653	1.99E-07
12	OS9	13	1.00E+06	56374152	56401607	191.5272392	0.0000001	rs12368653	1.99E-07
12	CDK4	10	1.00E+06	56428269	56432431	144.7957264	1.00E-06	rs12368653	1.99E-07
12	CYP27B1	11	1.00E+06	56442383	56447243	157.9380474	1.00E-06	rs12368653	1.99E-07
12	TSPAN31	10	1.00E+06	56425050	56428293	144.7957264	1.00E-06	rs12368653	1.99E-07
12	CENTG1	12	1.00E+06	56405260	56422207	164.6265116	3.00E-06	rs12368653	1.99E-07
12	METTL1	10	1.00E+06	56448617	56452181	137.9893949	3.00E-06	rs12368653	1.99E-07
12	TSFM	9	1.00E+06	56462802	56477634	138.4422501	4.00E-06	rs12368653	1.99E-07
12	FAM119B	10	1.00E+06	56452649	56462591	137.9893949	5.00E-06	rs12368653	1.99E-07
10	RBM17	19	1.00E+06	6171012	6198847	145.3416268	1.40E-05	rs942201	2.58E-07
10	IL2RA	21	1.00E+05	6093511	6144278	88.14573733	0.00151	rs942201	2.58E-07
6	IHPK3	24	1.00E+06	33797420	33822660	113.0840987	0.001059	rs649775	2.62E-07
6	C6orf125	21	1.00E+06	33773323	33787482	101.849096	0.001285	rs649775	2.62E-07
5	UBLCP1	7	1.00E+06	158622666	158645626	65.14021512	3.00E-06	rs2546890	2.74E-07
5	IL12B	6	1.00E+06	158674368	158690059	56.23183318	4.00E-06	rs2546890	2.74E-07
19	CD37	9	1.00E+06	54530488	54535673	130.4001419	0.0000001	rs2303759	3.78E-07
19	SLC6A16	8	1.00E+06	54484703	54520286	117.4026511	0.0000001	rs2303759	3.78E-07
19	TEAD2	13	1.00E+06	54535666	54557526	152.7201576	8.00E-06	rs2303759	3.78E-07
19	DKKL1	11	1.00E+06	54558853	54570185	125.5071661	1.30E-05	rs2303759	3.78E-07
19	FLJ32658	15	1.00E+06	54583317	54613058	109.4965339	5.80E-05	rs2303759	3.78E-07
5	MXD3	8	1.00E+06	176666816	176671487	66.94696737	3.00E-06	rs4075958	4.40E-07
5	LMAN2	10	1.00E+06	176691356	176711254	79.05631177	7.00E-06	rs4075958	4.40E-07
5	RGS14	7	1.00E+06	176717449	176732205	63.129209	1.10E-05	rs4075958	4.40E-07
5	SLC34A1	6	1.00E+06	176744040	176758455	57.26777125	1.30E-05	rs4075958	4.40E-07
5	PFN3	7	1.00E+06	176759713	176760243	59.75738289	2.20E-05	rs4075958	4.40E-07
5	F12	8	1.00E+06	176761744	176769183	62.30586892	4.90E-05	rs4075958	4.40E-07
16	PRM1	18	1.00E+06	11282193	11282693	243.1463568	0.0000001	rs12928822	4.52E-07
16	PRM2	20	1.00E+06	11276993	11277838	255.2985202	0.0000001	rs12928822	4.52E-07
16	PRM3	21	1.00E+06	11274644	11274953	267.3648745	0.0000001	rs12928822	4.52E-07
16	TNP2	21	1.00E+06	11269214	11270661	267.3648745	0.0000001	rs12928822	4.52E-07
16	C16orf75	13	1.00E+06	11346811	11353118	116.5316477	1.50E-05	rs12928822	4.52E-07
17	STAT3	12	1.00E+06	37718868	37794039	90.79469973	0.000132	rs9891119	4.64E-07
17	STAT5A	7	1.00E+06	37693090	37717484	68.10786755	0.000219	rs9891119	4.64E-07
17	PTRF	9	1.00E+06	37808000	37828800	54.90191671	0.000277	rs9891119	4.64E-07
1	HES5	7	1.00E+06	2450043	2451544	60.87557722	1.70E-05	rs6667605	5.16E-07
1	PANK4	10	1.00E+06	2429834	2447895	65.55159577	6.90E-05	rs6667605	5.16E-07
2	PLEK	30	1.00E+06	68445825	68478089	204.306566	1.10E-05	rs7595037	6.52E-07
2	FBXO48	11	1.00E+06	68543008	68547894	69.31228722	0.00044	rs7595037	6.52E-07
2	C2orf13	17	1.00E+05	68548245	68660798	72.54901035	0.00647	rs7595037	6.52E-07
19	KIAA1683	19	1.00E+06	18228907	18246235	131.6589959	2.20E-05	rs12608504	6.53E-07
19	LSM4	21	1.00E+06	18278716	18294958	93.28057881	0.000142	rs12608504	6.53E-07
19	JUND	15	1.00E+06	18251562	18253432	90.55469708	0.000279	rs12608504	6.53E-07
19	JUND	15	1.00E+06	18251562	18253432	90.55469708	0.000287	rs12608504	6.53E-07
1	RGS1	11	1.00E+06	190811479	190815782	93.59951797	5.00E-06	rs1323292	8.81E-07
19	IL12RB1	14	1.00E+06	18031370	18058697	78.26269493	0.000143	rs740691	8.83E-07
1	GPR25	12	1.00E+06	199108788	199109874	64.78173843	0.000101	rs7522462	9.19E-07
1	C1orf106	15	1.00E+06	199127291	199151486	74.31868618	0.000116	rs7522462	9.19E-07
19	SAE1	10	1.00E+06	52325983	52405372	102.3226633	1.00E-06	rs307896	1.03E-06
19	ZC3H4	5	1.00E+06	52259286	52308849	67.04760389	5.00E-06	rs307896	1.03E-06
9	SYK	21	1.00E+06	92603890	92698304	88.66493055	0.000128	rs290986	1.03E-06
2	LOC93349	25	1.00E+05	230900137	230976689	75.3769935	0.00622	rs720977	1.09E-06
6	RING1	6	1.00E+06	33284263	33288477	92.56656542	0.0000001	rs421446	1.32E-06
10	ZMIZ1	37	1000	80591875	80746279	56.01159207	0.117	rs1250550	1.37E-06
10	PPIF	21	1000	80777225	80785095	27.67192703	0.215	rs1250550	1.37E-06
19	PDE4A	8	1.00E+06	10392332	10441307	55.2360448	0.0000001	rs8112449	1.48E-06
19	TYK2	13	1.00E+06	10322203	10352248	72.08147118	3.70E-05	rs8112449	1.48E-06
19	CDC37	6	1.00E+06	10362808	10375271	28.88317994	0.002356	rs8112449	1.48E-06
19	PTH2	14	1.00E+06	54617482	54618510	79.77998277	0.00038	rs2288481	1.65E-06
20	NCOA5	9	1.00E+06	44123032	44151987	56.2376399	0.000105	rs2425752	1.67E-06
20	CD40	8	1.00E+06	44180312	44191791	52.65425155	0.000179	rs2425752	1.67E-06
20	SLC12A5	10	1.00E+06	44091244	44122196	52.28551553	0.000208	rs2425752	1.67E-06
12	SLC26A10	9	1.00E+06	56299959	56306201	109.5714117	2.00E-06	rs774890	1.93E-06
12	B4GALNT1	9	1.00E+06	56305817	56313252	110.5821317	3.00E-06	rs774890	1.93E-06
18	MALT1	24	1.00E+06	54489597	54568350	110.343852	0.000207	rs7238078	2.20E-06
16	SOCS1	21	1.00E+06	11255774	11257540	225.798866	0.0000001	rs12596260	2.21E-06
6	ZBTB9	5	1.00E+05	33530333	33533298	25.821378	0.00298	rs2772372	2.21E-06
6	SYNGAP1	6	1.00E+05	33495824	33529444	26.54916947	0.00772	rs2772372	2.21E-06
6	CUTA	5	1.00E+05	33492296	33494043	24.3973387	0.0089	rs2772372	2.21E-06
6	PHF1	6	1.00E+05	33486771	33492193	27.84895365	0.00925	rs2772372	2.21E-06
5	CAPSL	26	1.00E+06	35940154	35974638	161.6187535	0.000118	rs6897932	2.63E-06
5	IL7R	15	1.00E+06	35892747	35912680	95.10324053	0.000525	rs6897932	2.63E-06
12	DTX3	7	1.00E+06	56284870	56289850	64.86693341	1.40E-05	rs10083154	3.45E-06
12	PIP4K2C	7	1.00E+06	56271323	56283298	64.86693341	1.40E-05	rs10083154	3.45E-06
12	GEFT	7	1.00E+06	56290229	56297293	64.86693341	1.50E-05	rs10083154	3.45E-06
12	KIF5A	10	1.00E+06	56230113	56264821	66.86073808	0.000154	rs10083154	3.45E-06
3	IL12A	14	1.00E+06	161189322	161196500	102.9125375	3.20E-05	rs2243123	3.68E-06
6	BACH2	37	1.00E+05	90692968	91063182	105.2054838	0.00187	rs4707609	3.70E-06
22	LMF2	11	1.00E+06	49288245	49292979	88.94345136	2.00E-06	rs140522	3.85E-06
22	MIOX	12	1.00E+06	49272078	49275616	86.41554036	7.00E-06	rs140522	3.85E-06
22	ADM2	12	1.00E+06	49266877	49271732	77.60082735	1.20E-05	rs140522	3.85E-06
22	SCO2	11	1.00E+06	49308862	49310900	94.12118307	1.20E-05	rs140522	3.85E-06
22	TYMP	12	1.00E+06	49311047	49315380	94.34466443	1.60E-05	rs140522	3.85E-06
22	NCAPH2	14	1.00E+06	49293510	49308779	101.3097994	1.80E-05	rs140522	3.85E-06
22	LOC440836	11	1.00E+06	49315720	49317874	87.57768752	2.40E-05	rs140522	3.85E-06
22	KLHDC7B	13	1.00E+06	49333327	49335409	93.14996625	8.00E-05	rs140522	3.85E-06
22	LOC644186	14	1.00E+06	49336406	49348194	97.52122421	8.70E-05	rs140522	3.85E-06
22	CPT1B	13	1.00E+06	49354155	49368260	71.70784902	0.00049	rs140522	3.85E-06
22	CHKB	13	1.00E+06	49354155	49368260	71.70784902	0.000501	rs140522	3.85E-06
22	MAPK1	16	1.00E+06	20443946	20551970	125.0074356	4.50E-05	rs2283792	3.99E-06
22	YPEL1	20	1.00E+06	20381825	20420071	99.89336706	0.000276	rs2283792	3.99E-06
17	TMEM49	11	1.00E+06	55139644	55272734	93.71344271	3.10E-05	rs2777899	4.13E-06
